	CO	NO2	O3	SO2	PM2.5	PM10	aqi
77	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
78	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
79	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
80	320.44	26.05	90.12	2.41	6.58	14.24	137.0
81	867.84	122.01	3.67	13.83	27.26	42.34	123.0
82	867.84	122.01	3.67	13.83	27.26	42.34	123.0
83	867.84	122.01	3.67	13.83	27.26	42.34	123.0
84	867.84	122.01	3.67	13.83	27.26	42.34	123.0
85	867.84	122.01	3.67	13.83	27.26	42.34	123.0
86	867.84	122.01	3.67	13.83	27.26	42.34	123.0
87	867.84	122.01	3.67	13.83	27.26	42.34	123.0
88	867.84	122.01	3.67	13.83	27.26	42.34	123.0
89	188.59	2.31	103.0	0.27	2.5	10.43	170.0
90	191.93	3.56	103.0	0.47	2.39	9.64	170.0
91	867.84	122.01	3.67	13.83	27.26	42.34	123.0
92	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
93	210.29	8.82	95.84	1.33	2.44	8.86	152.0
94	947.95	138.46	45.78	11.09	61.1	83.94	141.0
95	947.95	138.46	45.78	11.09	61.1	83.94	141.0
96	867.84	122.01	3.67	13.83	27.26	42.34	123.0
97	867.84	122.01	3.67	13.83	27.26	42.34	123.0
98	867.84	122.01	3.67	13.83	27.26	42.34	123.0
99	191.93	3.56	103.0	0.47	2.39	9.64	170.0
100	320.44	26.05	90.12	2.41	6.58	14.24	137.0
101	320.44	26.05	90.12	2.41	6.58	14.24	137.0
102	320.44	26.05	90.12	2.41	6.58	14.24	137.0
103	867.84	122.01	3.67	13.83	27.26	42.34	123.0
104	867.84	122.01	3.67	13.83	27.26	42.34	123.0
105	867.84	122.01	3.67	13.83	27.26	42.34	123.0
106	867.84	122.01	3.67	13.83	27.26	42.34	123.0
107	867.84	122.01	3.67	13.83	27.26	42.34	123.0
108	210.29	8.82	95.84	1.33	2.44	8.86	152.0
109	210.29	8.82	95.84	1.33	2.44	8.86	152.0
110	210.29	8.82	95.84	1.33	2.44	8.86	152.0
111	210.29	8.82	95.84	1.33	2.44	8.86	152.0
112	210.29	8.82	95.84	1.33	2.44	8.86	152.0
113	867.84	122.01	3.67	13.83	27.26	42.34	123.0
114	867.84	122.01	3.67	13.83	27.26	42.34	123.0
115	867.84	122.01	3.67	13.83	27.26	42.34	123.0
116	867.84	122.01	3.67	13.83	27.26	42.34	123.0
117	867.84	122.01	3.67	13.83	27.26	42.34	123.0
118	947.95	138.46	45.78	11.09	61.1	83.94	141.0
119	347.14	51.41	43.27	3.82	6.2	16.85	64.0
120	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
121	1228.33	178.22	1.5	28.85	58.31	79.68	162.0
122	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
123	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
124	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
125	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
126	1228.33	178.22	1.5	28.85	58.31	79.68	162.0
127	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
128	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
129	1228.33	178.22	1.5	28.85	58.31	79.68	162.0
130	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
131	347.14	51.41	43.27	3.82	6.2	16.85	64.0
132	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
133	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
134	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
135	514.03	85.0	64.37	18.36	12.73	23.96	102.0
136	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
137	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
138	440.6	28.79	87.26	1.73	22.46	38.09	130.0
139	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
140	947.95	138.46	45.78	11.09	61.1	83.94	141.0
141	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
142	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
143	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
144	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
145	947.95	138.46	45.78	11.09	61.1	83.94	141.0
146	894.55	142.57	16.99	31.47	28.63	48.89	135.0
147	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
148	947.95	138.46	45.78	11.09	61.1	83.94	141.0
149	947.95	138.46	45.78	11.09	61.1	83.94	141.0
150	894.55	142.57	16.99	31.47	28.63	48.89	135.0
151	894.55	142.57	16.99	31.47	28.63	48.89	135.0
152	894.55	142.57	16.99	31.47	28.63	48.89	135.0
153	947.95	138.46	45.78	11.09	61.1	83.94	141.0
154	867.84	122.01	3.67	13.83	27.26	42.34	123.0
155	867.84	122.01	3.67	13.83	27.26	42.34	123.0
156	867.84	122.01	3.67	13.83	27.26	42.34	123.0
157	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
158	894.55	142.57	16.99	31.47	28.63	48.89	135.0
159	894.55	142.57	16.99	31.47	28.63	48.89	135.0
160	894.55	142.57	16.99	31.47	28.63	48.89	135.0
161	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
162	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
163	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
164	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
165	867.84	122.01	3.67	13.83	27.26	42.34	123.0
166	894.55	142.57	16.99	31.47	28.63	48.89	135.0
167	894.55	142.57	16.99	31.47	28.63	48.89	135.0
168	894.55	142.57	16.99	31.47	28.63	48.89	135.0
169	894.55	142.57	16.99	31.47	28.63	48.89	135.0
170	894.55	142.57	16.99	31.47	28.63	48.89	135.0
171	347.14	51.41	43.27	3.82	6.2	16.85	64.0
172	347.14	51.41	43.27	3.82	6.2	16.85	64.0
173	347.14	51.41	43.27	3.82	6.2	16.85	64.0
174	188.59	5.23	100.14	0.71	2.44	9.6	162.0
175	188.59	5.23	100.14	0.71	2.44	9.6	162.0
176	175.24	1.99	100.14	0.19	2.16	9.26	162.0
177	347.14	51.41	43.27	3.82	6.2	16.85	64.0
178	175.24	1.99	100.14	0.19	2.16	9.26	162.0
179	347.14	51.41	43.27	3.82	6.2	16.85	64.0
180	347.14	51.41	43.27	3.82	6.2	16.85	64.0
181	175.24	1.99	100.14	0.19	2.16	9.26	162.0
182	175.24	1.99	100.14	0.19	2.16	9.26	162.0
183	175.24	1.99	100.14	0.19	2.16	9.26	162.0
184	347.14	51.41	43.27	3.82	6.2	16.85	64.0
185	347.14	51.41	43.27	3.82	6.2	16.85	64.0
186	347.14	51.41	43.27	3.82	6.2	16.85	64.0
187	347.14	51.41	43.27	3.82	6.2	16.85	64.0
188	347.14	51.41	43.27	3.82	6.2	16.85	64.0
189	347.14	51.41	43.27	3.82	6.2	16.85	64.0
190	347.14	51.41	43.27	3.82	6.2	16.85	64.0
191	307.08	43.87	60.8	3.1	4.31	12.11	55.0
192	307.08	43.87	60.8	3.1	4.31	12.11	55.0
193	307.08	43.87	60.8	3.1	4.31	12.11	55.0
194	307.08	43.87	60.8	3.1	4.31	12.11	55.0
195	307.08	43.87	60.8	3.1	4.31	12.11	55.0
196	307.08	43.87	60.8	3.1	4.31	12.11	55.0
197	307.08	43.87	60.8	3.1	4.31	12.11	55.0
198	307.08	43.87	60.8	3.1	4.31	12.11	55.0
199	307.08	43.87	60.8	3.1	4.31	12.11	55.0
200	175.24	1.99	100.14	0.19	2.16	9.26	162.0
201	191.93	3.56	103.0	0.47	2.39	9.64	170.0
202	191.93	3.56	103.0	0.47	2.39	9.64	170.0
203	210.29	8.82	95.84	1.33	2.44	8.86	152.0
204	190.26	1.1	107.29	0.14	2.96	12.97	180.0
205	186.92	2.34	103.0	0.26	2.72	11.5	170.0
206	191.93	3.56	103.0	0.47	2.39	9.64	170.0
207	186.92	2.34	103.0	0.26	2.72	11.5	170.0
208	210.29	8.82	95.84	1.33	2.44	8.86	152.0
209	188.59	2.31	103.0	0.27	2.5	10.43	170.0
210	186.92	2.34	103.0	0.26	2.72	11.5	170.0
211	186.92	2.34	103.0	0.26	2.72	11.5	170.0
212	186.92	2.34	103.0	0.26	2.72	11.5	170.0
213	186.92	2.34	103.0	0.26	2.72	11.5	170.0
214	186.92	2.34	103.0	0.26	2.72	11.5	170.0
215	186.92	2.34	103.0	0.26	2.72	11.5	170.0
216	186.92	2.34	103.0	0.26	2.72	11.5	170.0
217	186.92	2.34	103.0	0.26	2.72	11.5	170.0
218	186.92	2.34	103.0	0.26	2.72	11.5	170.0
219	186.92	2.34	103.0	0.26	2.72	11.5	170.0
220	186.92	2.34	103.0	0.26	2.72	11.5	170.0
221	186.92	2.34	103.0	0.26	2.72	11.5	170.0
222	176.91	1.16	95.84	0.12	3.26	14.5	152.0
223	176.91	1.16	95.84	0.12	3.26	14.5	152.0
224	175.24	1.99	100.14	0.19	2.16	9.26	162.0
225	176.91	1.16	95.84	0.12	3.26	14.5	152.0
226	186.92	2.34	103.0	0.26	2.72	11.5	170.0
227	210.29	8.82	95.84	1.33	2.44	8.86	152.0
228	190.26	1.05	105.86	0.1	3.06	13.09	177.0
229	188.59	2.31	103.0	0.27	2.5	10.43	170.0
230	188.59	2.31	103.0	0.27	2.5	10.43	170.0
231	210.29	8.82	95.84	1.33	2.44	8.86	152.0
232	191.93	3.56	103.0	0.47	2.39	9.64	170.0
233	191.93	3.56	103.0	0.47	2.39	9.64	170.0
234	191.93	3.56	103.0	0.47	2.39	9.64	170.0
235	190.26	1.1	107.29	0.14	2.96	12.97	180.0
236	181.91	1.37	98.71	0.1	3.29	14.39	159.0
237	176.91	1.16	95.84	0.12	3.26	14.5	152.0
238	176.91	1.16	95.84	0.12	3.26	14.5	152.0
239	210.29	8.82	95.84	1.33	2.44	8.86	152.0
240	186.92	2.34	103.0	0.26	2.72	11.5	170.0
241	210.29	8.82	95.84	1.33	2.44	8.86	152.0
242	186.92	2.34	103.0	0.26	2.72	11.5	170.0
243	186.92	2.34	103.0	0.26	2.72	11.5	170.0
244	210.29	8.82	95.84	1.33	2.44	8.86	152.0
245	210.29	8.82	95.84	1.33	2.44	8.86	152.0
246	210.29	8.82	95.84	1.33	2.44	8.86	152.0
247	307.08	43.87	60.8	3.1	4.31	12.11	55.0
248	307.08	43.87	60.8	3.1	4.31	12.11	55.0
249	175.24	1.99	100.14	0.19	2.16	9.26	162.0
250	307.08	43.87	60.8	3.1	4.31	12.11	55.0
251	307.08	43.87	60.8	3.1	4.31	12.11	55.0
252	307.08	43.87	60.8	3.1	4.31	12.11	55.0
253	307.08	43.87	60.8	3.1	4.31	12.11	55.0
254	307.08	43.87	60.8	3.1	4.31	12.11	55.0
255	186.92	2.34	103.0	0.26	2.72	11.5	170.0
256	307.08	43.87	60.8	3.1	4.31	12.11	55.0
