	zip_code	y-2016	latitude	longitude
410	92147	569	32.7153	-117.1573
411	92154	88016	32.5753	-117.0707
412	92155	528	32.6716	-117.1657
413	92173	32416	32.5626	-117.043
414	92201	64436	33.7207	-116.2168
415	92203	29768	33.7532	-116.2676
416	92210	4987	33.7163	-116.3381
417	92211	24623	33.7644	-116.3398
418	92220	33101	33.9282	-116.8899
419	92222	0	32.7822	-114.5619
420	92223	49804	33.9504	-116.9701
421	92225	22242	33.6103	-114.5963
422	92227	27120	32.9792	-115.5296
423	92230	4088	33.9086	-116.7739
424	92231	40070	32.6832	-115.5028
425	92233	7770	33.167	-115.5114
426	92234	53253	33.8098	-116.4665
427	92236	44124	33.675	-116.1772
428	92239	196	33.809	-115.3666
429	92240	35684	33.9531	-116.5219
430	92241	9212	33.8763	-116.354
431	92242	1332	34.1652	-114.3197
432	92243	49425	32.7893	-115.5665
433	92249	7960	32.7218	-115.4383
434	92250	8645	32.8104	-115.3775
435	92251	22496	32.847	-115.573
436	92252	8874	34.1502	-116.3038
437	92253	39435	33.6685	-116.3081
438	92254	12491	33.545	-116.0187
439	92256	3105	34.0606	-116.5656
440	92257	1770	33.3784	-115.6965
441	92258	435	33.9228	-116.5431
442	92259	197	32.7387	-115.9942
443	92260	33834	33.7225	-116.377
444	92262	27561	33.8414	-116.5347
445	92264	19778	33.8018	-116.517
446	92266	97	33.3696	-114.7355
447	92267	0	34.2872	-114.143
448	92268	505	34.1887	-116.5048
449	92270	17876	33.7643	-116.4225
450	92273	1661	32.7941	-115.6948
451	92274	19326	33.5578	-116.1572
452	92275	2174	33.3092	-115.9578
453	92276	7803	33.8082	-116.3713
454	92277	24028	34.1455	-116.0601
455	92278	4162	34.238	-116.0604
456	92280	16	34.1561	-114.5656
457	92281	2249	33.038	-115.5914
458	92282	1233	33.989	-116.6566
459	92283	2287	32.9818	-114.6854
460	92284	25850	34.1559	-116.4313
461	92285	2556	34.3103	-116.5241
462	92301	32801	34.5841	-117.4242
463	92304	21	34.5578	-115.7444
464	92305	519	34.1531	-116.9485
465	92307	38583	34.5291	-117.2132
466	92308	40285	34.4698	-117.1927
467	92309	742	35.3606	-116.0638
468	92310	9337	35.2625	-116.6966
469	92311	33962	34.8914	-117.0387
470	92313	12432	34.031	-117.3129
471	92314	11997	34.261	-116.8131
472	92315	5282	34.235	-116.9053
473	92316	30231	34.0662	-117.3993
474	92320	8364	33.9946	-117.043
475	92321	1214	34.2545	-117.1533
476	92322	696	34.2544	-117.3265
477	92324	58854	34.0315	-117.2874
478	92325	8019	34.2433	-117.2811
479	92327	544	34.8668	-116.8876
480	92328	292	36.4672	-116.8937
481	92332	3	34.5881	-115.5771
482	92333	217	34.2583	-116.9515
483	92335	99079	34.0794	-117.4551
484	92336	92306	34.1173	-117.4378
485	92337	39074	34.0498	-117.4706
486	92338	0	34.7211	-116.16
487	92339	1171	34.0937	-116.9362
488	92341	231	34.2348	-117.066
489	92342	7058	34.7499	-117.3367
490	92344	22259	34.4239	-117.4075
491	92345	81094	34.4222	-117.3025
492	92346	60320	34.1283	-117.2087
493	92347	1372	34.9279	-117.1809
494	92352	6601	34.2606	-117.2016
495	92354	20963	34.0528	-117.2513
496	92356	5995	34.447	-116.9189
497	92358	1069	34.2558	-117.5186
498	92359	8710	34.0774	-117.1126
499	92363	5356	34.7824	-114.5871
500	92364	0	35.4667	-115.2722
501	92365	2601	34.885	-116.7464
502	92368	937	34.6178	-117.3327
503	92371	16721	34.4449	-117.5196
504	92372	5763	34.4429	-117.6403
505	92373	35149	34.0397	-117.1804
506	92374	41452	34.065	-117.1672
507	92376	85857	34.1132	-117.3771
508	92377	20370	34.1561	-117.4042
509	92378	154	34.2297	-117.225
510	92382	5006	34.2102	-117.1109
511	92384	24	35.973	-116.2711
512	92385	296	34.2353	-117.1792
513	92386	1992	34.2372	-116.8277
514	92389	133	35.9021	-116.1544
515	92391	3227	34.2379	-117.2348
516	92392	57648	34.4802	-117.4082
517	92394	36017	34.5563	-117.3528
518	92395	41384	34.5016	-117.2944
519	92397	4853	34.3628	-117.6249
520	92398	1588	34.905	-116.8203
521	92399	54335	34.0282	-117.0489
522	92401	1885	34.1105	-117.2898
523	92404	58738	34.1426	-117.2606
524	92405	29897	34.1446	-117.3013
525	92407	64225	34.2166	-117.3908
526	92408	15788	34.0831	-117.2711
527	92410	48660	34.1069	-117.2975
528	92411	26437	34.1214	-117.3172
529	92501	21975	33.9924	-117.3694
530	92503	94029	33.9208	-117.4589
531	92504	57004	33.9315	-117.4119
532	92505	49705	33.9228	-117.4867
533	92506	46172	33.9455	-117.3757
534	92507	57347	33.9761	-117.3389
535	92508	38360	33.8897	-117.3043
536	92509	80480	34.0033	-117.445
537	92518	1145	33.9533	-117.3962
538	92530	54710	33.6598	-117.3485
539	92532	22248	33.6927	-117.303
540	92536	2811	33.4473	-116.7997
541	92539	3775	33.5688	-116.7135
542	92543	36962	33.7416	-116.973
543	92544	47275	33.739	-116.9243
544	92545	40732	33.7399	-117.0151
545	92548	7577	33.7453	-117.1118
546	92549	2644	33.7304	-116.7107
547	92551	33670	33.8814	-117.2261
548	92553	74925	33.9157	-117.2351
549	92555	42264	33.9377	-117.1851
550	92557	51551	33.9553	-117.2457
551	92561	1577	33.7042	-116.7259
552	92562	64222	33.5631	-117.2738
553	92563	60651	33.569	-117.1783
554	92567	10205	33.8123	-117.1048
555	92570	59324	33.7852	-117.3166
556	92571	54512	33.811	-117.218
557	92582	16695	33.7883	-116.9819
558	92583	32051	33.7967	-116.9324
559	92584	49317	33.6647	-117.1743
560	92585	21714	33.7467	-117.1721
561	92586	19351	33.7044	-117.1969
562	92587	17157	33.707	-117.245
563	92590	3951	33.4903	-117.1824
564	92591	40396	33.5217	-117.1286
565	92592	80135	33.4983	-117.0958
566	92595	31541	33.6021	-117.264
567	92596	25363	33.6243	-117.0885
568	92602	24962	33.7419	-117.7467
569	92603	20206	33.6245	-117.794
570	92604	28580	33.6899	-117.7868
571	92606	23129	33.6951	-117.8224
572	92610	11895	33.6748	-117.6649
573	92612	31166	33.6607	-117.8264
574	92614	25930	33.6829	-117.8298
575	92617	16942	33.6425	-117.8417
576	92618	29921	33.7074	-117.7054
577	92620	46966	33.7009	-117.7564
578	92624	6454	33.46	-117.6632
579	92625	12187	33.6021	-117.8743
580	92626	51133	33.6801	-117.9085
581	92627	61996	33.6483	-117.9155
582	92629	26797	33.4743	-117.6964
583	92630	61081	33.6437	-117.6868
584	92637	16330	33.6103	-117.7253
585	92646	55598	33.6654	-117.9686
586	92647	61285	33.721	-118.0033
587	92648	47701	33.6773	-118.0051
588	92649	33513	33.718	-118.0505
589	92651	24612	33.5429	-117.7813
590	92653	29028	33.5916	-117.6985
591	92655	9257	33.7446	-117.984
592	92656	52335	33.5701	-117.7086
593	92657	9768	33.5943	-117.8334
594	92660	35935	33.6295	-117.8684
595	92661	3419	33.6045	-117.9021
596	92662	2863	33.6062	-117.8931
597	92663	22408	33.621	-117.9321
598	92672	34605	33.4361	-117.6231
599	92673	30553	33.4615	-117.6375
600	92675	36548	33.5085	-117.6565
601	92676	2156	33.7451	-117.6153
602	92677	65645	33.5145	-117.7084
603	92678	532	33.6643	-117.5896
604	92679	32819	33.6625	-117.5903
605	92683	91613	33.7524	-117.9939
606	92688	45105	33.6512	-117.5938
607	92691	49471	33.6128	-117.6622
608	92692	48851	33.6144	-117.6433
609	92694	25906	33.5472	-117.6238
610	92701	51317	33.7523	-117.8541
611	92703	71245	33.7489	-117.9072
612	92704	89993	33.7249	-117.909
613	92705	47515	33.754	-117.7919
614	92706	36684	33.7691	-117.8855
615	92707	61667	33.7086	-117.8701
616	92708	57675	33.7102	-117.9503
617	92780	62017	33.7364	-117.8229
618	92782	23174	33.7346	-117.7869
619	92801	66657	33.8428	-117.9546
620	92802	42583	33.8085	-117.9228
621	92804	86220	33.8186	-117.9729
622	92805	73043	33.8359	-117.9086
623	92806	40296	33.8356	-117.8681
624	92807	35284	33.8544	-117.7858
625	92808	20427	33.8579	-117.7513
626	92821	37642	33.9291	-117.8845
627	92823	3769	33.923	-117.798
628	92831	36533	33.8873	-117.8946
629	92832	25601	33.868	-117.9265
630	92833	53227	33.8766	-117.9551
631	92835	23464	33.8994	-117.9063
632	92840	56256	33.7869	-117.9273
633	92841	34031	33.7817	-117.9766
634	92843	45211	33.7671	-117.929
635	92844	23585	33.7661	-117.9738
636	92845	17276	33.7787	-118.0267
637	92860	26822	33.9247	-117.5517
638	92861	5872	33.8205	-117.8104
639	92865	20643	33.8263	-117.8511
640	92866	15760	33.7877	-117.8423
641	92867	44868	33.811	-117.8493
642	92868	27232	33.7875	-117.8776
643	92869	36298	33.7868	-117.7934
644	92870	53690	33.8744	-117.8543
645	92879	46487	33.8797	-117.5354
646	92880	66557	33.9208	-117.6096
647	92881	34466	33.8241	-117.5198
648	92882	71024	33.8419	-117.6043
649	92883	32549	33.7541	-117.474
650	92886	49644	33.9058	-117.7865
651	92887	20529	33.8841	-117.7304
652	93001	33765	34.3308	-119.3584
653	93003	51041	34.2846	-119.2222
654	93004	30218	34.2788	-119.1651
655	93010	44761	34.2313	-119.0464
656	93012	35714	34.2218	-118.9866
657	93013	16603	34.4036	-119.5183
658	93015	17487	34.3992	-118.9182
659	93021	37093	34.2784	-118.8771
660	93022	7154	34.402	-119.2982
661	93023	20168	34.4451	-119.2565
662	93030	60582	34.2141	-119.175
663	93033	83103	34.1685	-119.1717
664	93035	28258	34.1822	-119.216
665	93036	46328	34.2351	-119.182
666	93040	1980	34.4352	-118.7855
667	93041	24351	34.1626	-119.1973
668	93042	104	34.1134	-119.1124
669	93043	163	34.1621	-119.2074
670	93060	33837	34.3547	-119.0713
671	93063	56637	34.3046	-118.6844
672	93064	0	34.2582	-118.7107
673	93065	72211	34.2656	-118.7653
674	93066	3082	34.2798	-119.0115
675	93067	690	34.4214	-119.5965
676	93101	32157	34.4197	-119.7078
677	93103	20827	34.4291	-119.6833
678	93105	25808	34.4369	-119.7285
679	93108	11345	34.4378	-119.6159
680	93109	11583	34.4038	-119.7194
681	93110	16777	34.4418	-119.7647
682	93111	18441	34.4453	-119.8025
683	93117	57268	34.4296	-119.8612
684	93201	1314	35.8877	-119.4873
685	93202	3570	36.3095	-119.7053
686	93203	22106	35.1966	-118.8336
687	93204	13590	35.9877	-120.1227
