zip_code,y-2016
94530,24851
94531,44263
94533,72349
94534,37794
94535,4269
94536,72597
94538,66493
94539,52141
94541,65178
94542,13491
94544,78096
94545,32015
94546,43472
94547,25037
94548,379
94549,29005
94550,50122
94551,42508
94552,14852
94553,49638
94555,36750
94556,16039
94558,68366
94559,28355
94560,44677
94561,40274
94563,18803
94564,19007
94565,91323
94566,43784
94567,587
94568,51248
94569,243
94571,8802
94572,9798
94573,86
94574,8996
94575,1175
94576,102
94577,47053
94578,40603
94579,22431
94580,29167
94582,40460
94583,35174
94585,29501
94586,978
94587,73500
94588,34611
94589,30593
94590,36807
94591,54493
94592,880
94595,17675
94596,20794
94597,21923
94598,27175
94599,3148
94601,50369
94602,29628
94603,33823
94605,43116
94606,37912
94607,26089
94608,28864
94609,22331
94610,31486
94611,37900
94612,15200
94613,855
94618,16620
94619,24638
94621,33423
94702,17720
94703,21234
94704,27006
94705,13215
94706,20735
94707,12173
94708,11481
94709,11854
94710,7193
94720,3166
94801,29923
94803,25283
94804,41681
94805,14850
94806,61452
94850,0
94901,42212
94903,31219
94904,12459
94920,12725
94922,565
94923,737
94924,1307
94925,9694
94928,43370
94929,135
94930,8763
94931,8436
94933,658
94937,785
94938,840
94939,7130
94940,223
94941,31154
94945,19095
94946,749
94947,26180
94949,16905
94950,100
94951,4464
94952,34938
94954,37943
94956,1282
94957,1314
94960,15789
94963,713
94964,3322
94965,11227
94970,675
94971,378
94972,20
94973,1542
95002,1727
95003,25187
95004,3846
95005,7116
95006,8649
95007,683
95008,46507
95010,9375
95012,11080
95013,66
95014,62632
95017,627
95018,6935
95019,6252
95020,61480
95023,51045
95030,13477
95032,26027
95033,10006
95035,73652
95037,48532
95039,1252
95041,410
95043,734
95045,4475
95046,6299
95050,38482
